,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,casualty_home_area_type,casualty_imd_decile,number_of_vehicles,number_of_casualties,day_of_week,first_road_class,speed_limit,junction_detail,junction_control,second_road_class,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,labels
74,1.0,1,25,5,0,0,0,0,1,3,1,1,4,3,30,1,2,3,0,5,1,1,2,3,0,1,2,18.0
80,1.0,1,26,6,0,0,0,0,1,1,2,1,4,6,20,1,4,3,9,1,4,1,1,9,0,1,2,23.0
88,2.0,1,35,6,0,0,2,0,1,7,2,2,5,3,30,6,4,3,2,5,4,2,2,1,0,1,2,8.0
89,1.0,1,29,6,0,0,0,0,1,8,2,2,5,3,30,6,4,3,2,5,4,2,2,1,0,1,2,8.0
104,1.0,2,34,6,0,0,0,0,1,2,2,1,4,3,20,99,2,6,9,9,1,8,1,9,0,1,2,23.0
126,1.0,2,43,7,0,0,0,0,1,10,2,1,6,3,30,3,4,3,0,0,1,1,1,4,0,1,2,19.0
128,3.0,2,35,6,9,5,0,0,1,6,3,1,6,6,30,99,9,6,9,9,1,1,1,9,9,1,2,23.0
130,2.0,2,41,7,0,0,0,3,1,2,1,1,6,3,30,1,4,6,0,0,1,1,2,5,2,1,2,20.0
132,1.0,1,56,9,0,0,0,0,1,4,2,1,5,5,30,3,4,6,0,9,6,1,2,9,0,1,2,23.0
169,1.0,1,30,6,0,0,0,0,1,10,2,1,6,3,30,9,9,6,0,1,1,1,1,4,0,1,2,19.0
239,1.0,1,58,9,0,0,0,0,1,4,2,1,6,3,30,9,9,6,0,0,1,8,1,9,9,1,2,23.0
272,1.0,1,38,7,0,0,0,0,1,3,2,1,2,6,30,99,9,6,9,9,4,9,9,9,0,1,2,23.0
275,1.0,2,22,5,0,0,0,0,1,3,2,1,2,5,20,3,9,6,9,9,4,1,1,9,0,1,2,23.0
323,2.0,1,21,5,0,0,1,0,1,5,2,2,4,6,30,6,4,6,0,0,4,2,2,5,0,1,2,20.0
324,2.0,1,21,5,0,0,1,0,1,2,2,2,4,6,30,6,4,6,0,0,4,2,2,5,0,1,2,20.0
343,2.0,2,80,11,0,0,0,3,1,4,1,1,4,5,30,2,4,6,0,0,1,1,1,4,0,1,2,19.0
356,1.0,1,44,7,0,0,0,0,1,9,2,1,4,5,30,3,4,6,0,0,4,1,2,4,0,1,2,19.0
362,2.0,2,13,3,0,0,2,0,1,4,2,1,4,3,30,6,4,5,0,0,4,1,1,4,0,1,2,19.0
372,1.0,1,35,6,0,0,0,0,1,5,2,1,4,6,20,99,9,3,9,5,7,1,1,9,0,1,2,23.0
381,1.0,1,29,6,0,0,0,0,1,5,2,1,5,5,20,3,9,6,0,9,1,1,2,4,0,1,2,19.0
410,1.0,1,34,6,0,0,0,0,1,2,2,1,7,4,20,5,9,6,9,9,4,1,1,9,9,1,2,23.0
430,1.0,2,37,7,0,0,0,0,1,2,2,1,6,6,30,3,9,3,9,9,4,1,1,9,9,1,2,15.0
433,1.0,1,39,7,0,0,0,0,1,2,2,1,6,3,30,8,2,6,0,7,4,1,2,9,9,1,2,23.0
439,1.0,1,48,8,0,0,0,0,1,4,2,1,6,4,30,2,9,6,9,9,1,2,2,9,9,1,2,23.0
446,3.0,2,25,5,1,1,0,0,1,1,1,1,2,3,30,1,2,6,9,9,7,1,1,9,0,1,2,23.0
450,3.0,1,20,4,10,3,0,0,1,1,1,1,6,4,30,3,9,6,0,5,4,1,2,9,9,1,2,23.0
464,1.0,1,27,6,0,0,0,0,1,4,2,1,6,6,30,8,9,6,9,9,1,1,1,9,9,1,2,23.0
500,3.0,2,19,4,1,9,0,0,1,5,1,1,7,3,30,3,9,6,9,9,1,9,1,9,9,1,2,23.0
521,1.0,1,44,7,0,0,0,0,1,3,2,1,1,3,30,3,4,6,0,0,4,1,1,4,0,1,2,19.0
545,2.0,2,32,6,0,0,9,0,1,4,2,1,7,6,30,3,2,6,9,5,4,1,1,9,9,1,2,23.0
560,1.0,2,38,7,0,0,0,0,1,9,2,1,1,6,30,99,9,6,9,9,1,9,9,9,9,1,2,23.0
576,1.0,1,42,7,0,0,0,0,1,3,2,1,1,6,20,6,9,6,9,9,1,1,1,9,9,1,2,23.0
588,3.0,1,36,7,6,9,0,0,1,2,1,1,7,6,30,3,4,6,0,0,4,8,1,9,0,1,2,23.0
664,1.0,1,38,7,0,0,0,0,1,1,2,1,3,3,30,7,2,3,0,7,4,1,1,4,2,1,2,19.0
666,1.0,1,49,8,0,0,0,0,1,1,2,2,2,3,20,3,2,6,9,9,4,9,1,9,9,1,2,23.0
667,2.0,2,43,7,0,0,9,0,1,1,2,2,2,3,20,3,2,6,9,9,4,9,1,9,9,1,2,23.0
671,1.0,1,55,8,0,0,0,0,1,7,2,1,4,6,30,3,4,6,0,0,1,1,4,9,2,1,2,23.0
701,3.0,1,37,7,4,1,0,0,1,2,1,1,6,5,20,2,4,6,9,1,1,1,1,9,0,1,2,23.0
703,3.0,2,3,1,5,1,0,0,1,3,1,1,4,4,30,3,4,6,0,0,1,1,1,4,2,1,2,19.0
739,1.0,1,25,5,0,0,0,0,1,5,1,1,6,3,30,7,4,6,9,9,1,1,9,9,9,1,2,23.0
753,2.0,2,28,6,0,0,1,0,1,2,1,3,4,6,30,99,9,6,0,0,4,9,9,9,9,1,2,23.0
754,2.0,2,19,4,0,0,2,0,1,2,1,3,4,6,30,99,9,6,0,0,4,9,9,9,9,1,2,23.0
755,2.0,1,16,4,0,0,2,0,1,2,1,3,4,6,30,99,9,6,0,0,4,9,9,9,9,1,2,23.0
762,1.0,2,32,6,0,0,0,0,1,9,2,1,3,6,30,99,9,6,9,9,1,9,9,9,9,1,2,23.0
773,1.0,2,28,6,0,0,0,0,1,6,2,1,5,6,30,1,4,6,0,0,4,1,1,4,0,1,2,19.0
822,1.0,2,27,6,0,0,0,0,1,3,2,1,6,3,30,6,9,6,9,9,1,8,1,9,9,1,2,23.0
832,1.0,1,45,7,0,0,0,0,1,3,2,2,2,3,30,8,9,6,9,9,4,1,9,9,9,1,2,23.0
879,3.0,2,18,4,1,2,0,0,1,5,1,1,4,3,30,8,9,6,9,1,4,1,1,9,0,1,2,23.0
923,1.0,2,27,6,0,0,0,0,1,4,2,1,1,3,20,3,4,6,0,0,1,2,2,4,0,1,2,19.0
930,3.0,1,35,6,1,1,0,0,1,8,1,1,3,3,30,3,9,6,0,9,1,1,1,4,9,1,2,19.0
931,1.0,2,25,5,0,0,0,0,1,4,2,1,5,3,30,1,4,3,0,8,1,1,1,9,0,2,2,23.0
938,3.0,2,83,11,1,3,0,0,1,2,1,1,2,3,30,3,9,3,9,8,1,1,1,9,9,1,2,23.0
943,1.0,1,29,6,0,0,0,0,1,5,2,1,1,3,50,7,2,4,9,5,1,2,2,9,0,2,2,23.0
949,3.0,2,40,7,10,9,0,0,1,3,1,1,6,5,30,1,9,6,9,9,1,1,1,9,9,1,2,23.0
958,1.0,1,23,5,0,0,0,0,1,2,2,1,1,5,30,3,4,6,9,9,4,2,2,9,9,1,2,15.0
962,3.0,2,27,6,8,3,0,0,1,7,1,1,2,6,30,3,4,6,0,8,1,1,2,1,0,1,2,16.0
963,1.0,1,47,8,0,0,0,0,1,3,2,1,4,3,30,1,2,3,0,5,4,1,9,9,9,1,2,23.0
982,1.0,1,65,9,0,0,0,0,1,9,2,1,3,3,30,6,4,5,9,9,1,2,2,1,0,1,2,16.0
985,1.0,1,23,5,0,0,0,0,1,10,2,1,1,6,30,1,4,3,9,9,4,9,9,9,9,1,2,23.0
1011,1.0,2,37,7,0,0,0,0,1,1,2,1,1,6,30,99,9,6,9,9,4,9,9,9,9,1,2,23.0
1020,1.0,1,54,8,0,0,0,0,1,8,2,1,2,6,30,99,9,6,9,9,1,9,9,9,9,1,2,23.0
